YEAR	WINNER	RUNNER-UP	SCORE
2020	Dominic Thiem (AUT)	Alexander Zverev (GER)	2-6, 4-6, 6-4, 6-3, 7-6(6)
2019	Rafael Nadal (ESP)	Daniil Medvedev (RUS)	7-5, 6-3, 5-7, 4-6, 6-4
2018	Novak Djokovic (SRB)	Juan Martin Del Potro (ARG)	6-3, 7-6(4), 6-3
2017	Rafael Nadal (ESP)	Kevin Anderson (RSA)	6-3, 6-3, 6-4
2016	Stan Wawrinka (SUI)	Novak Djokovic (SRB)	6-7(1), 6-4, 7-5, 6-3
2015	Novak Djokovic (SRB)	Roger Federer (SUI)	6-4, 5-7, 6-4, 6-4
2014	Marin Cilic (Cro)	Kei Nishikori (Jpn)	6-3, 6-3, 6-3
2013	Rafael Nadal (ESP)	Novak Djokovic (SRB)	6-2, 3-6, 6-4, 6-1
2012	Andy Murray (GBR)	Novak Djokovic (SRB)	7-6, 7-5, 2-6, 3-6, 6-2
2011	Novak Djokovic (SRB)	Rafael Nadal (ESP)	6-2, 6-4, 6-7, 6-1
2010	Rafael Nadal (ESP)	Novak Djokovic (SRB)	6-4, 5-7, 6-4, 6-2
2009	Juan Martin del Potro (ARG)	Roger Federer (SUI)	3-6, 7-6, 4-6, 7-6, 6-2
2008	Roger Federer (SUI)	Andy Murray (GBR)	6-2, 7-5, 6-2
2007	Roger Federer (SUI)	Novak Djokovic (SRB)	7-6, 7-6, 6-4
2006	Roger Federer (SUI)	Andy Roddick (USA)	6-2, 4-6, 7-5, 6-1
2005	Roger Federer (SUI)	Andre Agassi (USA)	6-3, 2-6, 7-6, 6-1
2004	Roger Federer (SUI)	Lleyton Hewitt (AUS)	6-0, 7-6, 6-0
2003	Andy Roddick (USA)	Juan Carlos Ferrero (ESP)	6-3, 7-6, 6-3
2002	Pete Sampras (USA)	Andre Agassi (USA)	6-3, 6-4, 5-7, 6-4
2001	Lleyton Hewitt (AUS)	Pete Sampras (USA)	7-6, 6-1, 6-1
2000	Marat Safin (RUS)	Pete Sampras (USA)	6-4, 6-3, 6-3
1999	Andre Agassi (USA)	Todd Martin (USA)	6-4, 6-7, 6-7, 6-3, 6-2
1998	Patrick Rafter (AUS)	Mark Philippoussis (AUS)	6-3, 3-6, 6-2, 6-0
1997	Patrick Rafter (AUS)	Greg Rusedski (GBR)	6-3, 6-2, 4-6, 7-5
1996	Pete Sampras (USA)	Michael Chang (USA)	6-1, 6-4, 7-6
1995	Pete Sampras (USA)	Andre Agassi (USA)	6-4, 6-3, 4-6, 7-5
