,,,,,,
Name,Birth,Death,Nationality, HoF ,Rank[a],Highest inclusion criteria 
Robert Abdesselam,1920,2006, France,,,1949 French Championships quarterfinalist 
José Acasuso,1982,–, Argentina,,20,Ranking in 2006 
András Ádám-Stolpa,1921,2010, Hungary,,,1947 French Championships quarterfinalist 
Andre Agassi,1970,–, United States,2011,1,Winner of 8 Grand Slam titles and a career Golden Grand Slam completed in 1999 + 1 Olympic gold medal → 1992 Wimbledon champion • 1994/1999 US Open champion • 1995/2000/2001/2003 Australian Open champion • 1999 French Open champion • 1996 Olympic gold medalist • 1990 ATP Tour World Championships winner • ranking world no. 1 for 101 weeks 
Ronald Agénor,1964,–, Haiti,,22,1989 French Open quarterfinalist • ranking in 1989 
Juan Aguilera,1962,–, Spain,,7,Ranking in 1984 
Roberto Bautista Agut,1988,–, Spain,,9,Ranking in 2020 • 2016 Olympics quarterfinals • 2019 Wimbledon semifinalist 
Karim Alami,1973,–, Morocco,,25,Ranking in 2000 
Fred Alexander,1880,1969, United States,1961,,Winner of 1 Grand Slam title → 1908 Australasian Championships winner
John Alexander,1951,–, Australia,,8,1977 (December) Australian Open semifinalist • ranking in 1975 
"Wilmer Allison, Jr.",1904,1977, United States,1963,4,"Winner of 1 Grand Slam title → 1935 United States champion, 1934 finalist • 1930 Wimbledon finalist • ranking in 1932 and 1935 "
Nicolás Almagro,1985,–, Spain,,9,"2008/2010/2012 French Open quarterfinalist •2013 Australian Open 
quarterfinalist• ranking in 2011 "
Manuel Alonso,1895,1984, Spain,1977,5,1921 Wimbledon semifinalist • rated world no. 5 in 1927 
Felicisimo Ampon,1920,1997, Philippines,,,"1952, 1953 French Championships quarterfinalist "
Vijay Amritraj,1953,–, India,,16,"1973 and 1981 Wimbledon quarterfinalist • 1973 and 1974 U.S. Open 
quarterfinalist • ranking in 1980 "
Mario Ančić,1984,–, Croatia,,7,2004 Wimbledon semifinalist • ranking in 2006 
James Anderson,1894,1973, Australia,2013,3,"Winner of 3 Grand Slam titles → 1922, 1924 and 1925 Australasian champion • rated world no. 3 in 1924 and 1925 "
Kevin Anderson,1986,–, South Africa,,5,2018 Wimbledon finalist • 2017 US Open finalist • ranking in 2018 
Mal Anderson,1935,–, Australia,2000,2,Winner of 1 Grand Slam title → 1957 United States champion • rated amateur world no. 2 in 1957 and 1958 
Igor Andreev,1983,–, Russia,,18,2007 French Open quarterfinalist • ranking in 2008 
John Andrews,1952,–, United States,,,1975 French Open quarterfinalist 
Matt Anger,1963,–, United States,,23,Ranking in 1986 
Paul Annacone,1963,–, United States,,12,1984 Wimbledon quarterfinalist • Ranking in 1986 
Hicham Arazi,1973,–, Morocco,,22,"1997 and 1998 French Open quarterfinalist • 2000 and 2004 Australian Open 
quarterfinalist • ranking in 2001 "
Jimmy Arias,1964,–, United States,,5,1983 U.S. Open semifinalist • ranking in 1984 
Jordi Arrese,1964,–, Spain,,23,1992 Olympic silver medalist • ranking in 1991 
József Asbóth,1917,1986, Hungary,,,Winner of 1 Grand Slam title → 1947 French champion • 1948 Wimbledon semifinalist 
Arthur Ashe,1943,1993, United States,1985,2,Winner of 3 Grand Slam titles → 1968 U.S. Open champion • 1970 Australian Open champion • 1975 Wimbledon champion • ranking in 1975 
Félix Auger-Aliassime,2000,–, Canada,,17,Ranking in 2019 
Bunny Austin,1906,2000, Great Britain,1997,2,"1932 and 1938 Wimbledon finalist • 1937 French finalist • amateur ranking 
in 1931 "
Luis Ayala,1932,–, Chile,,5,1958 and 1960 French finalist • ranking in 1958 
Wilfred Baddeley,1872,1929, Great Britain,2013,,"Winner of 3 Grand Slam titles → 1891, 1892 and 1895 Wimbledon champion, 1893, 1894 and 1896 runner-up "
Marcos Baghdatis,1985,–, Cyprus,,8,"2006 Australian Open finalist • 2006 Wimbledon semifinalist • ranking in 
2006 "
Corrado Barazzutti,1953,–, Italy,,7,"1977 U.S. Open semifinalist • 1978 French Open semifinalist • ranking in 
1978 "
Herbert Roper Barrett,1873,1943, Great Britain,,,"1908, 1909 and 1911 Wimbledon finalist • 1908 Olympic gold medalist "
Pierre Barthès,1941,–, France,,,Ranked a world top-20 player for 1971 
Nikoloz Basilashvili,1992,–, Georgia,,16,Ranking in 2019 
Alfred Beamish,1879,1944, Great Britain,,,1912 Australasian championships finalist 
Boris Becker,1967,–, West Germany/Germany,2003,1,Winner of 6 Grand Slam titles → 1985/1986/1989 Wimbledon champion • 1989 U.S. Open champion • 1991/1996 Australian Open champion • 1988 Masters Grand Prix champion; 1992/1995 ATP Tour World champion • ranking world no. 1 for 12 weeks in 1991 
Karl Behr,1885,1949, United States,1969,,1906 U.S. Championship finalist 
Mike Belkin,1945,–, Canada,,,1968 Australian Championships quarterfinalist 
Thomaz Bellucci,1987,–, Brazil,,21,Ranking in 2010 
Eduardo Bengoechea,1959,–, Argentina,,21,Ranking in 1987 
Julien Benneteau,1981,–, France,,25,2006 French Open quarterfinalist • ranking in 2014 
Alberto Berasategui,1973,–, Spain,,7,1994 French Open finalist • ranking in 1994 
Tomáš Berdych,1985,–, Czech Republic,,4,2010 Wimbledon finalist • 2011 Tour Finals semifinalist • ranking in 2015 
Lennart Bergelin,1925,2008, Sweden,,,1946/1948/1951 Wimbledon quarterfinalist 
