,,,,,
Name ,Nationality ,Birth ,Death ,Grand Slam singles titles ,Notes 
Betsy Abbas,Egypt,,,,1960 French Championships quarterfinalist 
Jane Albert,United States,,,,1965 Wimbledon quarterfinalist 
Leslie Allen, United States,1957,,,Ranked world No. 21 in 1983 
Lili de Alvarez Valdene,Spain,1905,1998,,"Ranked world No. 2 at the end of the year in 1927 and 1928 • 1926/1927/1928 
Wimbledon runner-up "
Sophie Amiach,France,1963,,,"Singles: 1984 Australian Open quarterfinalist ◌ Doubles: 1980 Australian 
Open quarterfinalist "
Josette Amouretti,France,1914,?,,1954 French Championships quarterfinalist 
Bianca Andreescu,Canada,2000,,1,Ranked world No. 5 in 2019 • 2019 US Open Singles Champion
Sabine Appelmans,Belgium,1972,,,"Ranked world No. 16 in singles and world No. 21 in doubles in 1997 ◌ 
Singles: 1997 Australian Open quarterfinalist "
Laura Arraya (Gildemeister), Argentina Peru,1967,,,Ranked world No. 14 in singles in 1990 and world No. 27 in doubles in 1988 
Jeanne Arth, United States,1935,,,Doubles: 1959 Wimbledon champion • 1956/1959 U.S. champion
Shinobu Asagoe,Japan,1976,,,Ranked world No. 21 in singles in 2005 and world No. 13 in doubles in 2006 
Cilly Aussem,Germany,1909,1963,2,Ranked world No. 2 at the end of the year in 1930 and 1931 ◌ Singles: 1931 French champion • 1931 Wimbledon champion ◌ Mixed doubles: 1930 French champion
Tracy Austin, United States,1962,,2,Ranked world No. 1 in 1980 ◌ Singles: 1979/1981 US Open champion • 1980 WTA Finals champion ◌ Mixed doubles: 1980 Wimbledon champion
Victoria Azarenka,Belarus,1989,,2,"Ranked world No. 1 in singles in 2012 and world No. 7 in doubles in 2008 ◌ 
Singles: 2012/2013 Australian Open champion ◌ Mixed doubles: 2007 US Open champion • 2008 French Open champion"
Tímea Babos,Hungary,1993,,,Ranked world No. 25 in singles in 2016 and world No. 1 in doubles in 2018 
Timea Bacsinszky,Switzerland,1989,,,Ranked world No.9 in singles in 2016. 
Dianne Fromholtz Balestrat,Australia,1956,,,Ranked world No. 4 in 1979 ◌ Doubles: 1977 Australian Open champion
Sybille Bammer,Austria,1980,,,Ranked world No. 19 in 2007 
Sue Barker, United Kingdom,1956,,1,Ranked world No. 3 • 1976 French Open champion
Pilar Barril, Spain,1931,2011,,1961 French Championships quarterfinalist 
Mona Barthel, Germany,1990,,,Ranked world No. 23 in singles in 2013 and world No. 63 in doubles in 2015 
Jane Bartkowicz, United States,1949,,,Ranked world No. 8 at the end of the year in 1969 
