YEAR	WINNER	RUNNER-UP	SCORE
2020	Naomi Osaka (JPN)	Victoria Azarenka (BLR)	1-6, 6-3, 6-3
2019	Bianca Andreescu (CAN)	Serena Williams (USA)	6-3, 7-5
2018	Naomi Osaka (JPN)	Serena Williams (USA)	6-2, 6-4
2017	Sloane Stephens (USA)	Madison Keys (USA)	6-3, 6-0
2016	Angelique Kerber (GER)	Karolina Pliskova (CZE)	6-3, 4-6, 6-4
2015	Flavia Pennetta (ITA)	Roberta Vinci (Ita)	7-6(4), 6-2
2014	Serena Williams (USA)	Caroline Wozniacki (Den)	6-3, 6-3
2013	Serena Williams (USA)	Victoria Azarenka (BLR)	7-6, 6-7, 6-1
2012	Serena Williams (USA)	Victoria Azarenka (BLR)	6-2, 2-6, 7-5
2011	Samantha Stosur (AUS)	Serena Williams (USA)	6-2, 6-3
2010	Kim Clijsters (BEL)	Vera Zvonareva (RUS)	6-2, 6-1
2009	Kim Clijsters (BEL)	Caroline Wozniacki (DEN)	7-5, 6-3
2008	Serena Williams (USA)	Jelena Jankovic (SER)	6-4, 7-5
2007	Justine Henin (BEL)	Svetlana Kuznetsova (RUS)	6-1, 6-3
2006	Maria Sharapova (RUS)	Justine Henin (BEL)	6-4, 6-4
2005	Kim Clijsters (BEL)	Mary Pierce (FRA)	6-3, 6-1
2004	Svetlana Kuznetsova (RUS)	Elena Dementieva (RUS)	6-3, 7-5
2003	Justine Henin (BEL)	Kim Clijsters (BEL)	7-5, 6-2
2002	Serena Williams (USA)	Venus Williams (USA)	6-4, 6-3
2001	Venus Williams (USA)	Serena Williams (USA)	6-2, 6-4
2000	Venus Williams (USA)	Lindsay Davenport (USA)	6-4, 7-5
1999	Serena Williams (USA)	Martina Hingis (SUI)	6-3, 7-6
1998	Lindsay Davenport (USA)	Martina Hingis (SUI)	6-3, 7-5
1997	Martina Hingis (SUI)	Venus Williams (USA)	6-0, 6-4
1996	Steffi Graf (GER)	Monica Seles (USA)	7-5, 6-4
1995	Steffi Graf (GER)	Monica Seles (USA)	7-6, 0-6, 6-3
1994	Arantxa Sanchez Vicario (ESP)	Steffi Graf (GER)	1-6, 7-6, 6-4
1993	Steffi Graf (GER)	Helena Sukova (CZE)	6-3, 6-3
1992	Monica Seles (YUG)	Arantxa Sanchez Vicario (ESP)	6-3, 6-3
1991	Monica Seles (YUG)	Martina Navratilova (USA)	7-6, 6-1
1990	Gabriela Sabatini (ARG)	Steffi Graf (FRG)	6-2, 7-6
1989	Steffi Graf (FRG)	Martina Navratilova (USA)	3-6, 7-5, 6-1
1988	Steffi Graf (FRG)	Gabriela Sabatini (ARG)	6-3, 3-6, 6-1
1987	Martina Navratilova (USA)	Steffi Graf (FRG)	7-6, 6-1
1986	Martina Navratilova (USA)	Helena Sukova (TCH)	6-3, 6-2
1985	Hana Mandlikova (TCH)	Martina Navratilova (USA)	7-6, 1-6, 7-6
1984	Martina Navratilova (USA)	Chris Evert (USA)	4-6, 6-4, 6-4
1983	Martina Navratilova (USA)	Chris Evert (USA)	6-1, 6-3
1982	Chris Evert (USA)	Hana Mandlikova (TCH)	6-3, 6-1
