	Family name	Name	Total	Single	Double	Mixed	Year of first final	Year of last final	Span
Titles	Finales	Titles	Finales	Titles	Finales	Titles	Finales
1	Laver	Rod	289	126	199	87	83	36	7	3	1955	1976	22
2	Rosewall	Ken	201	147	133	93	67	52	1	2	1949	1982	34
3	McEnroe	John	183	77	104	53	78	24	1	0	1977	2006	30
4	Emerson	Roy	172	100	120	69	49	29	3	2	1953	1975	23
5	Connors	Jimmy	167	80	152	68	15	11	0	1	1970	1989	20
6	Tilden	Bill	160	61	130	41	21	13	9	7	1913	1946	34
7	Drobny	Jaroslav	157	60	140	51	9	7	8	2	1938	1966	29
8	Lendl	Ivan	152	70	146	60	6	10	0	0	1979	1994	16
9	Nastase	Ilie	142	92	92	55	47	36	3	1	1966	1990	25
10	Hewitt	Bob	137	85	65	50	66	33	6	2	1957	1980	24
11	Gonzales	Pancho	135	67	93	42	42	25	0	0	1948	1973	26
12	Wilding	Anthony	135	20	123	13	5	4	7	3	1904	1914	11
13	Okker	Tom	132	79	52	38	78	39	2	2	1964	1980	17
14	Newcombe	John	123	88	73	53	47	33	3	2	1961	1978	18
15	Smith	Stan	118	63	62	33	56	29	0	1	1965	1984	20
16	Riggs	Bobby	115	54	95	37	18	15	2	2	1934	1959	26
17	Borg	Bjorn	110	36	106	32	4	3	0	1	1972	1986	15
18	Borotra	Jean	108	34	67	20	20	8	21	6	1920	1957	38
19	Riessen	Marty	98	67	26	36	61	28	11	3	1961	1981	21
20	Hoad	Lew	97	80	49	45	45	29	3	6	1950	1973	24
21	Ritchie	Josiah	97	35	92	32	2	2	3	1	1897	1924	28
22	Ashe	Arthur	96	87	80	62	15	25	1	0	1961	1979	19
23	Trabert	Tony	93	50	55	29	37	20	1	1	1949	1963	15
24	Woodbridge	Todd	92	48	2	8	84	32	6	8	1985	2005	21
25	Stolle	Fred	90	86	40	55	40	24	10	7	1961	1982	22
26	Vilas	Guillermo	89	60	73	50	16	10	0	0	1972	1986	15
27	Patty	Budge	85	41	79	37	3	4	3	0	1942	1960	19
28	Allen	E.R.	85	4	85	4	0	0	0	0	1894	1914	21
29	McMillan	Frew Donald	84	64	8	13	66	42	10	9	1962	1982	21
30	Roche	Tony	83	70	47	43	29	24	7	3	1962	1978	17
31	Mulloy	Gardnar	82	75	72	59	6	12	4	4	1934	1967	34
32	Gottfried	Brian	80	69	25	28	55	41	0	0	1973	1984	12
33	Ramirez	Raul	80	62	20	20	60	41	0	1	1973	1983	11
34	Seixas	Vic	80	56	56	49	10	5	14	2	1942	1967	26
35	Decugis	Max	79	17	39	14	16	2	24	1	1900	1923	24
36	Cochet	Henri	78	41	57	26	15	11	6	4	1920	1957	38
37	Segura	Pancho	77	76	58	42	19	32	0	2	1939	1970	32
38	Parker	Frank A.	77	32	73	28	4	4	0	0	1932	1951	20
39	Woodforde	Mark	77	32	4	5	68	25	5	2	1985	2000	16
40	Santana	Manuel	76	38	73	33	3	3	0	2	1958	1971	14
41	Agassi	Andre	76	37	75	34	1	3	0	0	1987	2005	19
42	Fraser	Neale	73	54	49	43	18	8	6	3	1951	1973	23
43	Budge	Don	73	40	40	26	25	12	8	2	1933	1962	30
44	Perry	Fred	73	34	52	21	16	11	5	2	1929	1961	33
45	Federer	Roger	73	30	64	26	8	4	1	0	2000	2009	10
46	Sedgman	Frank	72	65	42	37	20	23	10	5	1946	1965	20
47	Mulligan	Martin	72	30	71	28	0	1	1	1	1959	1973	15
48	Fleming	Peter	71	28	4	6	67	21	0	1	1976	1987	12
49	Fibak	Wojtek	69	59	17	24	52	35	0	0	1975	1987	13
50	Sanchez	Emilio	69	43	17	13	50	29	2	1	1960	1996	37
51	Ralston	Dennis	67	53	52	32	15	17	0	4	1959	1980	22
52	Sampras	Pete	67	29	65	27	2	2	0	0	1989	2002	14
53	Jarryd	Anders	66	52	8	20	58	32	0	0	1979	1996	18
54	Nestor	Daniel	66	44	0	0	65	41	1	3	1994	2009	16
55	Becker	Boris	66	42	51	30	15	12	0	0	1984	1999	16
56	Lowe	Francis Gordon	66	29	63	22	0	5	3	2	1909	1926	18
57	Orantes	Manuel	64	64	40	44	24	20	0	0	1967	1983	17
58	Smid	Tomas	63	68	9	19	54	49	0	0	1978	1990	13
59	Edberg	Stefan	62	53	44	42	18	11	0	0	1983	1996	14
60	Bryan	Bob	61	42	0	0	55	40	6	2	1999	2009	11
61	Bromwich	John	61	28	41	18	15	3	5	7	1934	1954	21
62	Richards	Vincent	61	24	43	17	16	5	2	2	1918	1945	28
63	Gimeno	Andres	60	85	42	51	18	33	0	1	1957	1973	17
64	Bjorkman	Jonas	60	50	6	5	54	43	0	2	1992	2008	17
65	Sturgess	Eric	60	24	48	17	3	5	9	2	1939	1958	20
66	Doherty	Lawrence	60	8	47	6	11	2	2	0	1897	1910	14
67	Bryan	Mike	59	43	0	0	57	41	2	2	1999	2009	11
68	Haarhuis	Paul	57	50	3	7	54	42	0	1	1989	2003	15
69	Crawford	Jack	57	30	43	21	9	6	5	3	1926	1949	24
70	Roper Barrett	Herbert	57	14	53	8	3	4	1	2	1895	1921	27
71	Lutz	Robert	56	56	13	24	43	32	0	0	1967	1983	17
72	Talbert	Bill	56	51	46	41	6	5	4	5	1941	1953	13
73	Stewart	Sherwood	56	49	2	2	52	44	2	3	1973	1989	17
74	Kovacs	Frank	56	37	41	29	15	8	0	0	1937	1954	18
75	Lott	George	56	24	40	21	10	2	6	1	1923	1937	15
76	Gomez	Andres	55	35	21	17	34	18	0	0	1980	1992	13
77	Anderson	Malcolm J.	53	44	37	21	13	23	3	0	1953	1977	25
78	Knowles	Mark	53	44	0	1	52	42	1	1	1993	2009	17
79	Kafelnikov	Yevgeny	53	36	26	22	27	14	0	0	1994	2003	10
80	Krishnan	Ramanathan	53	31	50	30	1	1	2	0	1953	1972	20
81	Bhupathi	Mahesh	52	36	0	0	45	33	7	3	1997	2009	13
82	Quist	Adrian	52	19	37	13	14	5	1	1	1933	1953	21
83	Lyttleton Rogers	George	51	42	38	41	5	0	8	1	1928	1946	19
84	Pietrangeli	Nicola	51	34	44	23	2	9	5	2	1955	1970	16
85	Brugnon	Jacques	51	28	25	16	14	10	12	2	1920	1939	20
86	Leach	Rick	50	42	0	0	46	37	4	5	1987	2005	19
87	Dixon	Charles	50	12	46	11	3	1	1	0	1900	1925	26
88	Fletcher	Ken	49	38	35	28	3	8	11	2	1957	1973	17
89	Casal	Sergio	49	28	1	2	47	26	1	0	1983	1995	13
90	Eltingh	Jacco	49	18	5	0	44	17	0	1	1989	1998	10
91	Rose	Mervyn	47	61	33	42	8	11	6	8	1949	1959	11
92	von Cramm	Gottfried	47	18	40	16	3	2	4	0	1931	1953	23
93	Smith	Sidney H.	47	8	43	5	2	3	2	0	1896	1906	11
94	Ayala	Luis	46	52	33	33	4	12	9	7	1952	1968	17
95	Cox	Mark	46	40	43	30	3	9	0	1	1960	1980	21
96	Paes	Leander	46	35	1	0	41	29	4	6	1995	2009	15
97	Wilson	Bobby	46	27	44	24	0	2	2	1	1953	1969	17
98	Muster	Thomas	46	13	45	12	1	1	0	0	1985	1998	14
99	Worthington	George	45	20	31	17	11	3	3	0	1947	1964	18
100	Edmondson	Mark	43	45	9	8	34	35	0	2	1975	1987	13
