	Family name	Name	Total	Single	Double	Mixed	Year of first final	Year of last final	Span
Titles	Finals	Titles	Finals	Titles	Finals	Titles	Finals
1	Ryan	Elizabeth	425	79	180	40	136	21	109	18	1907	1935	29
2	Navratilova	Martina	373	140	178	73	180	60	15	7	1972	2006	35
3	Smith-Court	Margaret	363	99	194	39	135	54	34	6	1959	1977	19
4	King	Billie Jean	287	130	128	56	144	65	15	9	1960	1984	25
5	Haydon Jones	Ann	250	158	133	97	110	52	7	9	1954	1978	25
6	Evert	Chris	196	99	162	74	34	24	0	1	1969	1989	21
7	Casals	Rosie	172	144	28	56	136	85	8	3	1962	1988	27
8	Hart	Doris	169	76	78	34	58	33	33	9	1940	1956	17
9	Goolagong Cawley	Evonne	160	98	98	59	59	38	3	1	1968	1982	15
10	Wade	Virginia	159	129	71	64	86	61	2	4	1963	1983	21
11	Bueno	Maria Ester	158	89	69	52	86	27	3	10	1954	1977	24
12	Turner Bowrey	Lesley	155	111	68	57	80	47	7	7	1959	1978	20
13	Mortimer	Angela	155	44	111	19	42	22	2	3	1950	1965	16
14	Lenglen	Suzanne	152	8	86	3	38	2	28	3	1912	1926	15
15	Durr	Françoise	142	146	46	37	93	102	3	7	1959	1979	21
16	Shriver	Pam	141	78	27	32	112	46	2	0	1978	1996	19
17	Hard	Darlene	130	73	41	43	78	23	11	7	1955	1969	15
18	Graf	Stefanie	123	40	112	33	11	7	0	0	1984	1999	16
19	Coyne	Thelma	118	71	53	33	48	25	17	13	1935	1959	25
20	Fry	Shirley	109	90	47	52	55	25	7	13	1941	1968	28
21	Brough	Louise	109	65	42	43	56	18	11	4	1940	1969	30
22	Stove	Betty	108	107	12	22	90	74	6	11	1963	1983	21
23	Novotna	Jana	106	68	25	16	77	51	4	1	1987	1999	13
24	Knode-Head	Dorothy	104	65	74	42	20	17	10	6	1940	1966	27
25	Sanchez-Vicario	Arantxa	103	95	30	49	69	42	4	4	1986	2004	19
26	Richey	Nancy	101	56	73	32	26	24	2	0	1957	1977	21
27	Osborne	Margaret	101	52	33	32	54	15	14	5	1934	1965	32
28	Tegart-Dalton	Judy	100	99	28	36	63	55	9	8	1956	1975	20
29	Sherriff Chanfreau Lovera	Gail	100	59	46	32	49	26	5	1	1964	1981	18
30	Davenport	Lindsay	93	62	56	39	37	23	0	0	1993	2008	16
31	Mathieu	Simone	93	48	74	36	17	9	2	3	1924	1952	29
32	Zvereva	Natasha	87	66	5	15	80	49	2	2	1986	2002	17
33	Sukova	Helena	85	85	11	22	69	60	5	3	1982	1998	17
34	Ramirez	Yola	85	60	37	27	39	25	9	8	1955	1968	14
35	Gibson	Althea	84	24	57	14	22	6	5	4	1950	1960	11
36	Hingis	Martina	83	40	45	26	37	14	1	0	1995	2007	13
37	Bjurstedt	Molla	83	29	69	14	10	10	4	5	1912	1929	18
38	Wills	Helen	82	19	53	11	19	4	10	4	1920	1946	27
39	Turnbull	Wendy	78	83	16	23	57	60	5	0	1971	1990	20
40	Raymond	Lisa	76	46	4	9	68	34	4	3	1993	2009	17
41	Niessen Masthoff	Helga	74	65	50	35	23	28	1	2	1961	1979	19
42	Lehane	Jan	72	80	43	36	24	41	5	3	1957	1982	26
43	Truman  	Christine	71	77	36	43	34	32	1	2	1956	1973	18
44	Fernandez	Gigi	71	56	2	5	69	48	0	3	1983	1997	15
45	Bloomer-Brasher	Shirley	70	63	52	38	9	22	9	3	1952	1972	21
46	van Zyl	Annette	70	51	32	26	36	25	2	0	1959	1977	19
47	Schuurman	Renee	68	55	22	29	40	23	6	3	1955	1964	10
48	Melville Reid	Kerry	66	78	29	42	33	35	4	1	1962	1979	18
49	Bevis-Hawton	Mary	66	52	25	21	35	27	6	4	1945	1963	19
50	Wynne	Nancy	66	33	39	18	20	11	7	4	1936	1952	17
51	Connolly	Maureen	64	25	42	9	14	8	8	8	1948	1954	7
52	Sperling	Hilde	64	14	59	11	3	2	2	1	1929	1950	22
53	Seles	Monica	63	36	57	33	6	3	0	0	1989	2003	15
54	Reynolds-Price	Sandra	62	48	33	23	25	20	4	5	1954	1969	16
55	Stubbs	Rennae	61	42	0	1	59	40	2	1	1991	2009	19
56	Williams	Venus	61	29	43	26	16	1	2	2	1997	2009	13
57	Morozova	Olga	59	37	26	14	28	21	5	2	1967	1976	10
58	Marble	Alice	59	15	37	11	15	4	7	0	1931	1940	10
59	Reyes Darmon	Rosa Maria	58	49	10	26	41	19	7	4	1955	1977	23
60	Heldman	Julie	57	55	31	26	24	28	2	1	1961	1975	15
61	Hotchkiss	Hazel	57	21	26	12	24	7	7	2	1902	1937	36
62	Curry	Joan	56	31	41	24	13	6	2	1	1939	1958	20
63	Krantzcke	Karen	55	60	14	18	41	38	0	4	1965	1977	13
64	Black	Cara	55	41	1	1	51	37	3	3	1999	2009	11
65	Starkie	Elizabeth	54	48	23	22	29	26	2	0	1960	1966	7
66	Williams	Serena	54	16	35	13	17	1	2	2	1998	2009	12
67	Savchenko-Neiland	Larisa	53	51	2	7	49	40	2	4	1985	1999	15
68	Walkden-Pretorius	Patricia	53	46	21	19	29	25	3	2	1964	1973	10
69	Eisel Curtis	Mary-Ann	52	45	18	16	32	29	2	0	1962	1977	16
70	Schultze-Hösl	Helga	52	36	34	13	18	21	0	2	1961	1974	14
71	Betz	Pauline	52	34	45	18	6	13	1	3	1939	1960	22
72	Baker-Fleitz	Beverly	52	24	46	20	5	3	1	1	1947	1959	13
73	Buding	Edda	50	56	34	26	14	25	2	5	1954	1970	17
74	Bentley	Rita	50	53	22	29	28	22	0	2	1955	1970	16
75	Todd	Patricia	50	43	30	19	17	19	3	5	1938	1959	22
76	Suarez	Paola	50	31	6	4	44	25	0	2	1991	2007	17
77	Ward-Hales	Pat	49	52	16	27	24	18	9	7	1949	1960	12
78	Mandlikova	Hana	48	45	29	26	19	19	0	0	1978	1990	13
79	Clijsters	Kim	48	27	37	17	11	9	0	1	1999	2009	11
80	Jordan	Kathy	47	48	4	11	41	36	2	1	1979	1991	13
81	McKane	Kitty	47	37	35	16	8	18	4	3	1919	1931	13
82	Martinez	Conchita	46	51	33	23	13	28	0	0	1988	2005	18
83	Ruano-Pascual	Virginia	46	35	3	0	42	35	1	0	1997	2009	13
84	Bundy Cheney	Dorothy	45	48	34	34	9	9	2	5	1934	1967	34
85	Sugiyama	Ai	45	40	6	7	38	33	1	0	1994	2009	16
86	Palfrey	Sarah	45	32	21	16	18	11	6	5	1927	1945	19
87	Walsh	Sharon	44	45	11	7	33	37	0	1	1970	1987	18
88	McNeil	Lori	44	45	10	11	33	31	1	3	1983	2001	19
89	Smylie Sayers	Elizabeth	44	41	5	4	36	33	3	4	1980	1996	17
90	Round	Dorothy	44	17	38	11	3	5	3	1	1928	1949	22
91	Smith	Anne	43	44	4	5	34	39	5	0	1961	1991	31
92	Gourlay-Cawley	Helen	43	42	10	14	31	27	2	1	1964	1977	14
93	Baylon	Norma	43	35	20	13	19	19	4	3	1958	1967	10
94	Henin	Justine	43	17	41	16	2	1	0	0	1999	2008	10
95	Sabatini	Gabriela	42	44	28	28	14	16	0	0	1984	1995	12
96	Beamish	Winifred	42	38	37	18	4	14	1	6	1919	1929	11
