YEAR	WINNER	RUNNER-UP	SCORE
2021	Naomi (JPN)	Jennifer Brady (USA)	6-4, 6-3
2020	Sofia Kenin (USA)	Garbine Muguruza (ESP)	4-6, 6-2, 6-2
2019	Naomi Osaka (JPN)	Petra Kvitova (CZE)	7-6(2), 5-7, 6-4
2018	Caroline Wozniacki (DEN)	Simona Halep (ROU)	7-6(2), 3-6, 6-4
2017	Serena Williams (USA)	Venus Williams (USA)	6-4, 6-4
2016	Angelique Kerber (GER)	Serena Williams (USA)	6-4, 3-6, 6-4
2015	Serena Williams (USA)	Maria Sharapova (RUS)	6-3, 7-6(5)
2014	Li Na (CHN)	Dominika Cibulkova (SVK)	7-6, 6-0
2013	Victoria Azarenka (BLR)	Li Na (CHN)	4-6, 6-4, 6-3
2012	Victoria Azarenka (BLR)	Maria Sharapova (RUS)	6-3, 6-0
2011	Kim Clijsters (BEL)	Li Na (CHN)	3-6, 6-3, 6-3
2010	Serena Williams (USA)	Justine Henin (BEL)	6-4, 3-6, 6-2
2009	Serena Williams (USA)	Dinara Safina (RUS)	6-0, 6-3
2008	Maria Sharapova (RUS)	Ana Ivanovic (SRB)	7-5, 6-3
2007	Serena Williams (USA)	Maria Sharapova (RUS)	6-1, 6-2
2006	Amelie Mauresmo (FRA)	Justine Henin (BEL)	6-1, 2-0, retired
2005	Serena Williams (USA)	Lindsay Davenport (USA)	2-6, 6-3, 6-0
2004	Justine Henin (BEL)	Kim Clijsters (BEL)	6-3, 4-6, 6-3
2003	Serena Williams (USA)	Venus Williams (USA)	7-6(4), 3-6, 6-4
2002	Jennifer Capriati (USA)	Martina Hingis (SUI)	4-6, 7-6(7), 6-2
2001	Jennifer Capriati (USA)	Martina Hingis (SUI)	6-4, 6-3
2000	Lindsay Davenport (USA)	Martina Hingis (SUI)	6-2, 7-5
1999	Martina Hingis (SUI)	Amelie Mauresmo (FRA)	6-2, 6-3
1998	Martina Hingis (SUI)	Conchita Martinez (ESP)	6-3, 6-3
1997	Martina Hingis (SUI)	Mary Pierce (FRA)	6-2, 6-2
1996	Monica Seles (USA)	Anke Huber (GER)	6-4, 6-1
1995	Mary Pierce (FRA)	Arantxa Sanchez Vicario (ESP)	6-3, 6-2
1994	Steffi Graf (GER)	Arantxa Sanchez Vicario (ESP)	6-0, 6-2
1993	Monica Seles (YUG)	Steffi Graf (GER)	4-6, 6-3, 6-2
1992	Monica Seles (YUG)	Mary Joe Fernandez (USA)	6-2, 6-3
1991	Monica Seles (YUG[l])	Jana Novotna (TCH)	5-7, 6-3, 6-1
1990	Steffi Graf (FRG)	Mary Joe Fernandez (USA)	6-3, 6-4
1989	Steffi Graf (FRG)	Helena Sukova (TCH)	6-4, 6-4
1988	Steffi Graf (FRG)	Chris Evert (USA)	6-1, 7-6(3)
1987	Hana Mandlikova (TCH)	Martina Navratilova (USA)	7-5, 7-6(1)
1985	Martina Navratilova (USA)	Chris Evert (USA)	6-2, 4-6, 6-2
1984	Chris Evert (USA)	Helena Sukova (TCH)	6-7(4), 6-1, 6-3
1983	Martina Navratilova (USA)	Kathy Jordan (USA)	6-2, 7-6(5)
1982	Chris Evert (USA)	Martina Navratilova (USA)	6-3, 2-6, 6-3
1981	Martina Navratilova (USA)	Chris Evert (USA)	6-7(4), 6-4, 7-5
1980	Hana Mandlikova (TCH)	Wendy Turnbull (AUS)	6-0, 7-5
1979	Barbara Jordan (USA)	Sharon Walsh (USA)	6-3, 6-3
