YEAR	WINNER	RUNNER-UP	SCORE
2019	Novak Djokovic (SRB)	Roger Federer (SUI)	7-6(5), 1-6, 7-6(4), 4-6, 13-12
2018	Novak Djokovic (SRB)	Kevin Anderson (RSA)	6-2, 6-2, 7-6(3)
2017	Roger Federer (SUI)	Marin Cilic (CRO)	6-3, 6-1, 6-4
2016	Andy Murray (GBR)	Milos Raonic (CAN)	6-4, 7-6(3), 7-6(2)
2015	Novak Djokovic (SRB)	Roger Federer (SUI)	7-6(1), 6-7(10), 6-4, 6-3
2014	Novak Djokovic (SRB)	Roger Federer (SUI)	6-7(7), 6-4, 7-6(4), 5-7, 6-4
2013	Andy Murray (GBR)	Novak Djokovic (SRB)	6-4, 7-5, 6-4
2012	Roger Federer (SUI)	Andy Murray (GBR)	4-6, 7-5, 6-3, 6-4
2011	Novak Djokovic (SRB)	Rafael Nadal (ESP)	6-4, 6-1, 1-6, 6-3
2010	Rafael Nadal (ESP)	Tomas Berdych (CZE)	6-3, 7-5, 6-4
2009	Roger Federer (SUI)	Andy Roddick (USA)	5-7, 7-6(6), 7-6(5), 3-6, 16-14
2008	Rafael Nadal (ESP)	Roger Federer (SUI)	6-4, 6-4, 6-7(5), 6-7(8), 9-7
2007	Roger Federer (SUI)	Rafael Nadal (ESP)	7-6(7), 4-6, 7-6(3), 2-6, 6-2
2006	Roger Federer (SUI)	Rafael Nadal (ESP)	6-0, 7-6(5), 6-7(2), 6-3
2005	Roger Federer (SUI)	Andy Roddick (USA)	6-2, 7-6(2), 6-4
2004	Roger Federer (SUI)	Andy Roddick (USA)	4-6, 7-5, 7-6(3), 6-4
2003	Roger Federer (SUI)	Mark Philippoussis (AUS)	7-6(5), 6-2, 7-6(3)
2002	Lleyton Hewitt (AUS)	David Nalbandian (ARG)	6-1, 6-3, 6-2
2001	Goran Ivanisevic (CRO)	Patrick Rafter (AUS)	6-3, 3-6, 6-3, 2-6, 9-7
2000	Pete Sampras (USA)	Patrick Rafter (AUS)	6-7(10), 7-6(5), 6-4, 6-2
1999	Pete Sampras (USA)	Andre Agassi (USA)	6-3, 6-4, 7-5
1998	Pete Sampras (USA)	Goran Ivanisevic (CRO)	6-7(2), 7-6(9), 6-4, 3-6, 6-2
1997	Pete Sampras (USA)	Cedric Pioline (FRA)	6-4, 6-2, 6-4
1996	Richard Krajicek (NED)	MaliVai Washington (USA)	6-3, 6-4, 6-3
1995	Pete Sampras (USA)	Boris Becker (GER)	6-7(5), 6-2, 6-4, 6-2
1994	Pete Sampras (USA)	Goran Ivanisevic (CRO)	7-6(2), 7-6(5), 6-0
1993	Pete Sampras (USA)	Jim Courier (USA)	7-6(3), 7-6(6), 3-6, 6-3
1992	Andre Agassi (USA)	Goran Ivanisevic (CRO)	6-7(8), 6-4, 6-4, 1-6, 6-4
1991	Michael Stich (GER)	Boris Becker (GER)	6-4, 7-6(4), 6-4
1990	Stefan Edberg (SWE)	Boris Becker (GER)	6-2, 6-2, 3-6, 3-6, 6-4
1989	Boris Becker (FRG)	Stefan Edberg (SWE)	6-0, 7-6(1), 6-4
1988	Stefan Edberg (SWE)	Boris Becker (FRG)	4-6, 7-6(2), 6-4, 6-2
1987	Pat Cash (AUS)	Ivan Lendl (TCH)	7-6(5), 6-2, 7-5
1986	Boris Becker (FRG)	Ivan Lendl (TCH)	6-4, 6-3, 7-5
1985	Boris Becker (FRG)	Kevin Curren (USA)	6-3, 6-7(4), 7-6(3), 6-4
1984	John McEnroe (USA)	Jimmy Connors (USA)	6-1, 6-1, 6-2
1983	John McEnroe (USA)	Chris Lewis (NZL)	6-2, 6-2, 6-2
1982	Jimmy Connors (USA)	John McEnroe (USA)	3-6, 6-3, 6-7(2), 7-6(5), 6-4
1981	John McEnroe (USA)	Bjorn Borg (SWE)	4-6, 7-6(1), 7-6(4), 6-4
1980	Bjorn Borg (SWE)	John McEnroe (USA)	1-6, 7-5, 6-3, 6-7(16), 8-6
1979	Bjorn Borg (SWE)	Roscoe Tanner (USA)	6-7(4), 6-1, 3-6, 6-3, 6-4
1978	Bjorn Borg (SWE)	Jimmy Connors (USA)	6-2, 6-2, 6-3
1977	Bjorn Borg (SWE)	Jimmy Connors (USA)	3-6, 6-2, 6-1, 5-7, 6-4
1976	Bjorn Borg (SWE)	Ilie Nastase (ROU)	6-4, 6-2, 9-7
1975	Arthur Ashe (USA)	Jimmy Connors (USA)	6-1, 6-1, 5-7, 6-4
1974	Jimmy Connors (USA)	Ken Rosewall (AUS)	6-1, 6-1, 6-4
1973	Jan Kodes (TCH)	Alex Metreveli (URS)	6-1, 9-8(5), 6-3
1972	Stan Smith (USA)	Ilie Nastase (ROU)	4-6, 6-3, 6-3, 4-6, 7-5
